year,month,date,max_tem,min_tem,,rain,,snow,,,,,,,,,,
2017,05,01,48,45,,T,,0.0,,,,,,,,,,
2017,05,02,66,44,,0.19,,0.0,,,,,,,,,,
2017,05,03,64,49,,0.00,,0.0,,,,,,,,,,
2017,05,04,56,46,,0.00,,0.0,,,,,,,,,,
2017,05,05,51,47,,0.64,,0.0,,,,,,,,,,
2017,05,06,65,49,,0.10,,0.0,,,,,,,,,,
2017,05,07,64,50,,0.00,,0.0,,,,,,,,,,
2017,05,08,55,44,,T,,0.0,,,,,,,,,,
2017,05,09,52,42,,T,,0.0,,,,,,,,,,
2017,05,10,55,47,,0.00,,0.0,,,,,,,,,,
2017,05,11,54,48,,0.00,,0.0,,,,,,,,,,
2017,05,12,53,47,,0.01,,0.0,,,,,,,,,,
2017,05,13,53,45,,0.02,,0.0,,,,,,,,,,
2017,05,14,51,46,,0.95,,0.0,,,,,,,,,,
2017,05,15,61,47,,0.07,,0.0,,,,,,,,,,
2017,05,16,81,55,,0.00,,0.0,,,,,,,,,,
2017,05,17,92,60,,T,,0.0,,,,,,,,,,
2017,05,18,95,71,,0.05,,0.0,,,,,,,,,,
2017,05,19,90,58,,0.01,,0.0,,,,,,,,,,
2017,05,20,59,52,,0.00,,0.0,,,,,,,,,,
2017,05,21,61,48,,0.00,,0.0,,,,,,,,,,
2017,05,22,56,50,,0.12,,0.0,,,,,,,,,,
2017,05,23,68,53,,T,,0.0,,,,,,,,,,
2017,05,24,64,54,,0.00,,0.0,,,,,,,,,,
2017,05,25,55,50,,0.63,,0.0,,,,,,,,,,
2017,05,26,60,49,,0.55,,0.0,,,,,,,,,,
2017,05,27,61,53,,0.00,,0.0,,,,,,,,,,
2017,05,28,67,54,,0.00,,0.0,,,,,,,,,,
2017,05,29,54,49,,0.05,,0.0,,,,,,,,,,
2017,05,30,59,49,,0.00,,0.0,,,,,,,,,,
2017,05,31,68,54,,0.06,,0.0,,,,,,,,,,
